M,F
0.05978098496,0.1581079895
0.06600874039,0.1828554406
0.0773155027,0.1998065191
0.1512280917,0.1952803667
0.1351203873,0.2085043669
0.1327864073,0.1684257408
0.1507623302,0.1799818583
0.1605143322,0.2045179718
0.1422394168,0.1982921991
0.1343287773,0.1842498218
0.1570205111,0.1917943643
0.1385505214,0.1930041123
0.1373427419,0.1908900952
0.1812254594,0.1844843722
0.1831152807,0.1885051325
0.1742721052,0.1974761957
0.1908462977,0.1608838397
0.1712469713,0.1484144022
0.1683459462,0.1093106164
0.1736313761,0.1465114025
0.1727542872,0.1107272768
0.1810153938,0.1565537242
0.1635358535,0.1607448659
0.1702127975,0.1182065309
0.1604224765,0.1227060133
0.164699838,0.1637019995
0.1695788014,0.1136384454
0.1690210039,0.1490024149
0.1673402387,0.1641254573
0.1805278214,0.111292518
0.1530390476,0.1027874684
0.1666594988,0.1945714007
0.1756594288,0.1967811546
0.1748257333,0.1796916015
0.1740646137,0.1620303905
0.1595304912,0.1902150532
0.1676483614,0.1875828793
0.1724363859,0.1910885127
0.1629811157,0.1968454255
0.1702098476,0.1902882446
0.1714008073,0.193005145
0.1468861537,0.1925725987
0.1667637855,0.195583432
0.1536918606,0.1966442315
0.1680113386,0.1824408694
0.1482813826,0.08969338275
0.1585959554,0.1997425635
0.1636431816,0.2046214148
0.1586569254,0.1968560289
0.1378928201,0.1930741037
0.1427155853,0.2099329016
0.1350529139,0.1945573579
0.1414607603,0.1844383708
0.1412801152,0.2010479949
0.1538512034,0.1939814632
0.1456407047,0.1637846106
0.1448584069,0.1832057641
0.1216833626,0.1960742949
0.1356499321,0.1762219924
0.1003994171,0.1907686714
0.125087547,0.1970635081
0.1434861622,0.1878367186
0.1431968299,0.1875744085
0.1455323814,0.1909751927
0.1620654293,0.1510967289
0.1429612328,0.1154016383
0.1411534471,0.1162126959
0.1673340353,0.1681221128
0.1678503123,0.1324769531
0.1850984387,0.1347852662
0.1677615378,0.144418544
0.1710935017,0.1374260882
0.1670830539,0.135907894
0.2008301454,0.1504808183
0.1370956433,0.1489508355
0.1903245629,0.1091484803
0.1871394535,0.1584172406
0.1843548693,0.1160018332
0.200041812,0.09773254209
0.1756818678,0.1340449162
0.1848508968,0.09037026752
0.1826301353,0.1250001388
0.1964632623,0.1348587154
0.1913109154,0.1195666524
0.1960060205,0.1494537259
0.1914616823,0.1462319448
0.1937693472,0.1641042809
0.1949209248,0.1084698897
0.1938081888,0.1307423337
0.1935889974,0.1375497489
0.1982953559,0.1465601304
0.1987780459,0.1321452486
0.2063122354,0.1578797274
0.1177777029,0.1466954467
0.1057820275,0.186963134
0.1070093638,0.1889160355
0.1190063032,0.1706035587
0.08252558788,0.1350127531
0.1306736384,0.1516577285
0.09672527731,0.09209244144
0.119976656,0.143582842
0.1068608422,0.1662357663
0.1009055024,0.1683809396
0.1695057587,0.1652285661
0.1633131061,0.1576988418
0.1609253349,0.1699351369
0.1648599474,0.164855128
0.1774276982,0.1269202753
0.176685284,0.1553132502
0.1790289255,0.1235519738
0.166353449,0.09345326829
0.1737567832,0.2023262639
0.1680232678,0.1722497217
0.1693525332,0.1860090206
0.130410979,0.1894601511
0.1167790753,0.1499527017
0.1071618899,0.183064351
0.1310997267,0.1842090251
0.1261948029,0.1736580438
0.1071298828,0.1926767177
0.1648013315,0.1419282282
0.1748428575,0.232672936
0.1649588454,0.2404579753
0.162515085,0.2389404857
0.1723464003,0.2205818301
0.1677051282,0.2288164714
0.1686225399,0.2366069285
0.1664021265,0.2278548083
0.169081838,0.2408440289
0.160199487,0.2353490311
0.2008147277,0.2307107889
0.2086769747,0.2107012541
0.2149564448,0.1478584431
0.2114849961,0.1460231557
0.2069243199,0.1492175404
0.1078252108,0.1514774442
0.1158662331,0.1414041146
0.1132033533,0.1427515893
0.08515061352,0.1392973973
0.115618688,0.1400683807
0.113315913,0.1411796246
0.1192133173,0.1521740468
0.1054930792,0.1317808939
0.108456021,0.1474014731
0.0998539811,0.1278581658
0.1450264563,0.1799172949
0.1384682767,0.161226593
0.09791506027,0.1672516098
0.1364817265,0.198253671
0.1357243147,0.1958851056
0.1058732306,0.1908864212
0.1126365487,0.1902514349
0.1162885978,0.1439162652
0.11328765,0.1909513119
0.1224484649,0.2184136823
0.1742979116,0.1947740151
0.1649734732,0.1915892432
0.1658076631,0.1947937701
0.1550572535,0.1834767589
0.1703100111,0.1821796125
0.1631800939,0.1865940205
0.1617407241,0.1871245794
0.1609846751,0.1829678742
0.1698758112,0.179249623
0.1718292954,0.1744008186
0.1689577541,0.1793553933
0.1664693982,0.1757908867
0.1478727706,0.1834812495
0.1487424182,0.183357687
0.1386765489,0.179977945
0.1507049487,0.181511631
0.1543056357,0.1888976917
0.1548118538,0.1807501303
0.1671052801,0.1836213598
0.1888148803,0.1497850636
0.1349615881,0.1831375907
0.1420102141,0.1815652016
0.1410466059,0.1795786342
0.1466839327,0.1931464027
0.1341057206,0.1636137167
0.1372950088,0.1677838974
0.1419130316,0.1769851618
0.1393327014,0.1852941751
0.1349915711,0.1820246488
0.1450208411,0.138120228
0.111692076,0.1777227378
0.1334311903,0.1811152012
0.1106826675,0.1795419396
0.1283373499,0.1716688643
0.1335948316,0.1817516936
0.1284615972,0.1892570619
0.118850224,0.1790099634
0.1419093684,0.1798545919
0.1137637158,0.1841688057
0.1508624749,0.1858471994
0.1373132495,0.1870737992
0.1445235703,0.1830461601
0.1455305704,0.1748572319
0.1387946653,0.1746326902
0.1490957156,0.1722711758
0.1450272574,0.1857169823
0.1495607658,0.1804964287
0.1489743431,0.1832458555
0.1599053865,0.1806755556
0.1461437336,0.187324392
0.171766033,0.1880297561
0.15350374,0.1660780979
0.1683046112,0.1792891082
0.149826808,0.1791788337
0.1837928908,0.1813473249
0.1491921732,0.1786905014
0.1553996074,0.1871151997
0.167347485,0.1860714975
0.1666126811,0.1776799477
0.1499925736,0.1843106092
0.1731682115,0.1632391068
0.1776419686,0.1783073659
0.1731844061,0.1746883226
0.1636684546,0.1833718877
0.1855921786,0.1769467787
0.1631944945,0.1740354746
0.1749400144,0.1772657645
0.1777020594,0.1736415463
0.1886368901,0.1882221841
0.1782198963,0.1779195973
0.1748055372,0.1769073143
0.09942441014,0.1870247995
0.1240617657,0.1928168867
0.1163399792,0.1843094036
0.1280328825,0.1848893422
0.1248826354,0.1859925342
0.1365210918,0.1866470779
0.2137323717,0.1811825493
0.1208826255,0.1851740456
0.130656208,0.1686128859
0.1417692376,0.178653418
0.1108202551,0.1871766687
0.1134204502,0.1892603544
0.1173230883,0.1848928708
0.122911112,0.1630672042
0.1222178013,0.1819225911
0.1201095806,0.1819956878
0.1300008288,0.1772980532
0.1222326961,0.1783894805
0.1103106888,0.1745238437
0.1084066888,0.1773707414
0.1252492172,0.1540714389
0.1184487428,0.1811914314
0.1375233801,0.1819642216
0.1200078197,0.1830983043
0.1241895168,0.1827135066
0.1343346194,0.1713191395
0.1266255503,0.1681630378
0.1303115955,0.1741735318
0.1310912156,0.1831731934
0.1125164904,0.1778960797
0.22438235,0.1883073468
0.2211018095,0.1797495887
0.2191937333,0.1805336176
0.22018978,0.1972164583
0.2255821977,0.1891332698
0.2230917475,0.1767333987
0.2228585932,0.1820507909
0.2250124179,0.192711322
0.2208320888,0.2017483766
0.2218848931,0.1926288313
0.1464796882,0.2063353368
0.1503960798,0.1959294869
0.1408974291,0.1899128087
0.1432519178,0.1685976575
0.1420180906,0.1597149999
0.1459879708,0.1941250151
0.1400080103,0.1725857276
0.1386078826,0.1820637339
0.1430602234,0.1752482588
0.1514005092,0.1726788317
0.1667021839,0.161152946
0.1634513955,0.170131639
0.1596838885,0.1770467016
0.1667833501,0.1540804458
0.1653676015,0.1623411732
0.1671679983,0.1517545437
0.165822739,0.1410829067
0.1696752915,0.1416165136
0.1650449689,0.1658043264
